measurement_condition_key	hard_within_source_conflict	rows	record_ids	source_ids	targets_json	interpretation
MLMEASURE1:02b4aef094cefb41d02293e0	true	2	PV13:d2f98d516ea0082c3a027937;PV13:eb2443fb15e6bf72dde28c00	CycPeptMPDB	"[[""-5.57"",""="",""""],[""-5.62"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:02c79114e98be064c8ca6f49	true	2	PV13:65aeb06864cde58a238e4c60;PV13:a21875ecffd507da411dcfb0	swemacrocycledb_figshare_v1_ar_gt_0_3	"[[""-5.542"",""="",""""],[""-5.735"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:02d2c7d8755342a7d46d75bd	true	2	PV13:041b06a84053c8d9fe75f58e;PV13:3714829b67fb8a7fd2e50a38	PEPlife2	"[[""-0.492593941376"",""="",""""],[""-0.805023396784"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:02f4d1a8addbbca47a1b20ae	false	2	PV13:04bdbd6cc6da762925a4bf64;PV13:411fd5f54a25528ccb9f25ca	PEPlife2	"[[""-1.1153934187"",""="",""""],[""1.38021124171"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:031d4ff1ad662277657bff91	true	3	PV13:56ec85b198bc3b4bd4dbe55a;PV13:7f22c578ab815d2982292d1e;PV13:f2b9846a954890b3fb3e08f3	PEPlife2	"[[""-0.638272163982"",""="",""""],[""0.734799829589"",""="",""""],[""0.882524537955"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:034f652524b0470e315d4e98	true	2	PV13:696a9d4ee86f4bb10abffb75;PV13:ac4577417f60744926b5df96	PEPlife2	"[[""1.95424250944"",""="",""""],[""2.22901594276"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:040b6c27b35ae53d8f01c00d	true	2	PV13:f1e073bda42f8337b5180460;PV13:f48b19b960dfd78d15fba86c	PEPlife2	"[[""-0.25701316668"",""="",""""],[""-0.853871964322"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:055a44fbaca6bec26498819c	true	2	PV13:bb91acf302f0e2dc4f9cf41e;PV13:eb714914ec745e1061a90ba4	PEPlife2	"[[""-1.28678955655"",""="",""""],[""1.04921802267"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:05c68b082c289692a8fba120	true	3	PV13:624ba866896c6a0d012f1b0a;PV13:e7da6edf0208154c940885a8;PV13:f9ce958a0ae4e5795f93afbf	PEPlife2	"[[""-0.493494967595"",""="",""""],[""-1.49485002168"",""="",""""],[""0.794488046659"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0628358c3f5de298a657f7bf	true	4	PV13:453cc277acd2fa5e5279b70d;PV13:81b238bfc327ed327e310805;PV13:b33de04716ef33b09fc3d422;PV13:cb51bc4f991d13a56806dc8d	swemacrocycledb_figshare_v1_ar_gt_0_3	"[[""-5.978810701"",""="",""""],[""-6.193820026"",""="",""""],[""-6.853871964"",""="",""""],[""-6.886056648"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:06684cb39c44b1ccba14e9d7	true	2	PV13:0dbea61dadea938c776d7876;PV13:f9f93823d90e14e2212b21d4	PEPlife2	"[[""0.886490725172"",""="",""""],[""1.52244423351"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:06768bf6e8433cfe0dc3d0f2	true	6	PV13:3d61cd8e8b139f95e4e98bf5;PV13:9fb5b8a2e67d1e49a458d6d9;PV13:aa14315f795eda3111310ebf;PV13:e34c061538e010641d26c256;PV13:ed7dbf98b571f71770c4e21a;PV13:eea128785a23613b62164bfc	PEPlife2	"[[""-0.38721614328"",""="",""""],[""-0.445712790468"",""="",""""],[""-0.492593941376"",""="",""""],[""1.32221929473"",""="",""""],[""1.34242268082"",""="",""""],[""1.34830486305"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:07ae2a9c5c6ccf050f2c1e6a	true	3	PV13:7aeb6d9d08c2663bb03bd451;PV13:870da87107e3e6e0dfada1b2;PV13:bd56914e96eff18211c30205	PEPlife2	"[[""0.539076098793"",""="",""""],[""0.579783596617"",""="",""""],[""0.638489256955"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:07ee6fe1b4ec3a5016a352ae	true	3	PV13:59953066a35e005e452abe0c;PV13:6cf8934020b0d7c1241c5bf0;PV13:90dc0fb26ac769fac9c06d8d	PEPlife2	"[[""2.18469143082"",""="",""""],[""2.19865708695"",""="",""""],[""2.20682587603"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0838b6ec3b9c346bd1c8f350	true	5	PV13:83a926e1dc4d4561579c6a28;PV13:871ed722b336a2021550f78e;PV13:89b9aaef1e703925e0310ae3;PV13:b3bf5c6d053c114ffc1dc529;PV13:c513ea66af55ea4b1fd72560	PEPlife2	"[[""-0.301029995664"",""="",""""],[""-2.07918124605"",""="",""""],[""0.431363764159"",""="",""""],[""0.845098040014"",""="",""""],[""1.05307844348"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:084c30f6beb54bade7ba1ea5	false	2	PV13:3be870056492b09177f99831;PV13:5915ccd863800240fcede8ea	PEPlife2	"[[""0.13353890837"",""="",""""],[""0.247973266362"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:091286e303c81c4f48170767	true	3	PV13:19c76c83067321422df1c3b3;PV13:5dd1b8752050b7ae90319499;PV13:dfb0ea71cb0d8b3c7587ca18	CycPeptMPDB	"[[""-5.04"",""="",""""],[""-5.66"",""="",""""],[""-6.12"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:09bc2536a66ebb645e1e043e	true	3	PV13:7748a6f4a8ca79a2818bac3e;PV13:866f95d6dfe4ac2333fa380d;PV13:8b416859a6af32c63a2f58a6	PEPlife2	"[[""-0.301029995664"",""<"",""""],[""0.535294120043"",""="",""""],[""0.602059991328"","">"",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0a20a464a65a6d69f312ea2a	true	2	PV13:1d16903db98b4c362e4103bc;PV13:d396c07b1c393c3158aa43ef	PEPlife2	"[[""1.02530586526"",""="",""""],[""1.06445798923"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0af51500ddb3fe7aad80bb4d	true	2	PV13:3b6e674edef7ecc3387190f9;PV13:62f048013933f9c879238691	swemacrocycledb_figshare_v1_ar_gt_0_3	"[[""0.301029995664"",""="",""""],[""1"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0b171eb2efcdf3e00e2a922b	true	5	PV13:2681840d143f4a9092f79dea;PV13:2815ebab9f6385e9e89e9f8f;PV13:349083141387951b27dc8d21;PV13:b340d2af058d788a7c06eb82;PV13:c471acc9ba2ee794831b7942	PEPlife2	"[[""0.361727836018"",""="",""""],[""0.380211241712"",""="",""""],[""0.518513939878"",""="",""""],[""0.54406804435"",""="",""""],[""0.556302500767"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0b25951145d503665dee1772	true	5	PV13:2fb9ef80751f915ab959d3eb;PV13:5221cb340476cde5d39bbe45;PV13:78481b504fdd74bc5ee91892;PV13:bbcabb3030dadb4c4a9b9691;PV13:dc715f772d3ac198421092d2	PEPlife2	"[[""-0.590630529547"",""="",""""],[""-0.684729565221"",""="",""""],[""-0.752845385119"",""="",""""],[""1.26245108973"",""="",""""],[""1.30102999566"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0b2a12ced4a2f3d3f3c0f21d	true	5	PV13:9c3c82a1fa6067250eb1f363;PV13:9fd793738a54d852d4ec4fd1;PV13:a4d0e0c5ee1b45919c5e21f4;PV13:b5448b8b88d533a30cfbdd8b;PV13:b578011d44d58d2b775c0601	NIST ThermoML	"[[""-3.4020855288"",""="",""""],[""-3.61332271604"",""="",""""],[""-3.75399409592"",""="",""""],[""-3.77884667805"",""="",""""],[""-3.91009488856"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0b505d44ff249e50ea155389	true	3	PV13:90228b5bd0de0e929f4d5603;PV13:c1e4127784719f06ae6891e7;PV13:de9de4d6abdd00ca41125471	PEPlife2	"[[""0.27607865948"",""="",""""],[""0.813358558611"",""="",""""],[""1.11226976842"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0be6833a82f3321cdb642b9e	true	3	PV13:07f6d88cdd00e4c251a70204;PV13:5191e698f8d803a99b7d07a4;PV13:82d3ba3b588fb337b720a163	PEPlife2	"[[""-0.115393418702"",""="",""""],[""-1.77815125038"",""<"",""""],[""0.47712125472"","">"",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0c320e6b2946fa33bde3e0a6	true	4	PV13:6d23ab4f4deeda43b95f2007;PV13:965d9acfd2ebf7bd0a942a83;PV13:c637c009ae1447441684ab13;PV13:db7ec4627cac15865fa74430	CycPeptMPDB	"[[""-4.7"",""="",""""],[""-4.75"",""="",""""],[""-4.8"",""="",""""],[""-5.31"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0c874809070d4125aa0e2c90	true	2	PV13:0cccf87a9013fd6d7805d9cd;PV13:55a6e2b48f565b3a1d3d76b6	PEPlife2	"[[""0.0791812460476"",""="",""""],[""1.02118929907"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0cb4e3b977378b00650412ee	true	2	PV13:9eaa1c272d8c59aef3885728;PV13:d7a63ef33c3a74e9996fc081	PEPlife2	"[[""-0.0457574905607"",""="",""""],[""0.462397997899"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0cc84f8a85cc461ef38d98f2	true	3	PV13:420bf6776b37a12aec579ccf;PV13:639b89edcb718dddafbc5487;PV13:78509d59e452a1515037fa4c	PEPlife2	"[[""1.71600334363"",""="",""""],[""1.73239375982"",""="",""""],[""1.83884909074"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0d544deddcbdc210a18720c3	true	2	PV13:051afc428006cf788fbc0aab;PV13:ef11043a9735039ae4cb5045	PEPlife2	"[[""-0.170696227169"",""="",""""],[""-1.69536588007"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0d72ef1b75ae717fc8a98c32	true	6	PV13:2bead3268f46da71695d341a;PV13:54039ce1325b8253451713dd;PV13:57ca6db074eb118288896a8e;PV13:8b463ac4918695db02a60146;PV13:da85fb29ae17430e23b1ddf8;PV13:f0d4d1a8683ade5b1864acdf	PEPlife2	"[[""-0.0791812460476"",""="",""""],[""-0.0969100130081"",""="",""""],[""-0.124938736608"",""="",""""],[""-0.134698573897"",""="",""""],[""0.0969100130081"",""="",""""],[""0.102662341897"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0db5c6cc033ac1b8e89c0f8f	false	2	PV13:38ba71db35949f3071d5bad4;PV13:4df536a0fca4ff97d4c00aae	PEPlife2	"[[""0.556302500767"",""="",""""],[""0.591064607026"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0dc8ce91ed9e797dea0ab6a3	true	2	PV13:5a4434681a7330a7d00d92e0;PV13:b99432e640ccb84cd7448324	swemacrocycledb_figshare_v1_ar_gt_0_3	"[[""-6.208"",""="",""""],[""-6.284"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0e3c76f305dbfc609d22afe9	true	2	PV13:2eb56752dd8126e5aa7ebafa;PV13:6699156bc4c03dbee007022c	swemacrocycledb_figshare_v1_ar_gt_0_3	"[[""-6.678"",""="",""""],[""-7"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0e6c2284bcc7977096bb8ac4	true	2	PV13:1883f31f7160e6ec2f491b2c;PV13:dc4fe5cb9c2271d1a15335f8	PEPlife2	"[[""-0.14670748137"",""="",""""],[""-0.17826817831"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0e8d3d8ec0c28e757385aed8	true	2	PV13:18f3390da13a962ef1be6d12;PV13:5cfd579765ec3409bc345331	swemacrocycledb_figshare_v1_ar_gt_0_3	"[[""-5.399"",""="",""""],[""-5.409"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0ee715ca8123e5efb52a51fb	true	2	PV13:099e92b2cf8c740efaff1872;PV13:c6922d88fad821998a5d876b	PEPlife2	"[[""1.11394335231"",""="",""""],[""1.38021124171"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0f203a97328776bb0f4a6248	true	2	PV13:06f3d8d50c57bd1d4b5b0cf1;PV13:d212f5356b7228b8b14d61b6	swemacrocycledb_figshare_v1_ar_gt_0_3	"[[""-5.845"",""="",""""],[""-5.947"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0f6e001d37fece05471a4187	true	2	PV13:9558cced76e41889847a8b3b;PV13:a8f3a0254f383379354ec9ea	PEPlife2	"[[""-0.0393706918993"",""="",""""],[""-1.38021124171"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:0f864708d724d3b5f5c47d65	true	2	PV13:993f5ef69bd7369957b81d10;PV13:d3a0806e396b1e8feff44288	PEPlife2	"[[""-1.07918124605"",""="",""""],[""-1.58781955221"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:100f039276685d6f30bec938	true	2	PV13:112d067f43632020554cbfc5;PV13:5ff91079728e6cce087ada2e	PEPlife2	"[[""-1"",""="",""""],[""0"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:1013137197f930e77ab5a21c	true	3	PV13:37a0c955dbae344a5e1446c0;PV13:a17c979a3a48f4eb272a3155;PV13:d7b0e95bb891e271f619b61c	PEPlife2	"[[""-0.234083206033"",""="",""""],[""-0.246672333341"",""="",""""],[""0.301029995664"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:106435db51ce4c96c6306656	true	2	PV13:4755093285556743959babca;PV13:b39b6239d7ac8fabf32579e2	PMC12990038 primary article tables	"[[""-0.00436480540245"",""="",""""],[""0.49831055379"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:10a21458f9166bd002e5aac7	true	2	PV13:6d3fff03e73eed5ea069e3f6;PV13:f7e61068c4143dc34a9d4a1b	CycPeptMPDB	"[[""-6.008306921"",""="",""""],[""-7.812398536"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:1142ed1ce226d8aabdbe0410	true	3	PV13:0de6cadbb6b30e4988d59cc4;PV13:0fda815c21a859c0060b9a4a;PV13:2c3684f4a135e4c18db60957	PEPlife2	"[[""-0.375030729208"",""="",""""],[""-0.613798394599"",""="",""""],[""0.0737183503461"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:12ef798013c84086986667cf	true	2	PV13:39c28523bcc472a63ac0e343;PV13:720ed56bac44dcd7e338cba9	swemacrocycledb_figshare_v1_ar_gt_0_3	"[[""-6.377"",""="",""""],[""-6.456"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:12fff63b2b5b1128d4a41a31	true	4	PV13:127967d0c92cd06b43b72ee2;PV13:432e910b3dfdaf033785f091;PV13:588f0ecc18c1f8dfcde8438a;PV13:aea89d4329cbdceda02ebf04	PEPlife2	"[[""-0.769551078622"",""="",""""],[""0.643452676486"",""="",""""],[""0.698970004336"",""="",""""],[""1.07918124605"","">"",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:13c60a602b12d821ad046aa3	true	2	PV13:32b7bef78392fd7e719114ff;PV13:733cbbb464694ee09ce26f60	CycPeptMPDB	"[[""-5.36"",""="",""""],[""-5.68"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:13c6efa7c909af2a9eb857f3	true	2	PV13:2ff79556680fb2285e2c7778;PV13:3d383bbc420d5039ccafac1b	swemacrocycledb_figshare_v1_ar_gt_0_3	"[[""-5.833"",""="",""""],[""-5.854"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:1480eac025cf98baa0647468	true	2	PV13:64e324e3be7994e00e8c1d27;PV13:e98da14eb7998d8dc027b315	PEPlife2	"[[""0.523746466812"",""="",""""],[""0.901458321396"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:14c6eaa6d3b0bb2d727ae40a	true	2	PV13:6e1518978a823eb4d6211e09;PV13:70aec4b1afa3d8ae534a63f1	CycPeptMPDB	"[[""-5.54"",""="",""""],[""-5.55"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:1514cbe53536e7a58fdf6f75	true	3	PV13:35d9cb9c7c5d844b7cbd21c1;PV13:5575c859d2f8bbf84c4a89ef;PV13:9e1f4b9d18d5e669a97a2dfd	PEPlife2	"[[""-0.267606240177"",""="",""""],[""-1.08354605145"",""="",""""],[""-1.12013985373"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:153dd454e9dbe021e92d4d04	true	7	PV13:23d203cf0e3cbcbe618cd3df;PV13:23d458eaa47bea2eda61fd83;PV13:5ccd6d80e79ff62e52a93aba;PV13:5fa8a1e68afeae864e4f666d;PV13:96467d74fc0d1733966d4ca4;PV13:a116e32394d33b9b10b210d8;PV13:a574f796042a0b47ba1b51aa	PEPlife2	"[[""-1.43969475678"",""="",""""],[""-1.49034952045"",""="",""""],[""-1.50399340112"",""="",""""],[""-1.63827216398"",""="",""""],[""-1.71745341003"",""="",""""],[""-1.81436342304"",""="",""""],[""-1.88052415909"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:1547f6ed5ce4bf92c2d1d886	true	2	PV13:3ec57db13385f13b617d0c46;PV13:c0f4b8e2694cf2491bc5d50d	PEPlife2	"[[""-0.0195421077239"",""="",""""],[""-0.0515870342214"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:157978fa553b07a55b1dd845	true	4	PV13:155574e6423d16ac90782761;PV13:7a1720e1dd1425962247e013;PV13:b5d98f0b2356a6d4d6f63dc4;PV13:c791d95592adf476bba3f05a	PEPlife2	"[[""-0.736758565225"",""="",""""],[""-0.958607314842"",""="",""""],[""-1.02227639471"",""="",""""],[""-1.02996322338"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:15de72398ce826705f9e0e54	true	3	PV13:0e92ae7d77f4b383b5b73a3f;PV13:7ce183d50199595ce9b31a3b;PV13:eeacb22c039d806382414ba6	PEPlife2	"[[""1.02530586526"",""="",""""],[""1.69019608003"",""="",""""],[""1.95327633667"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:162adf09fbce52627a94c735	true	2	PV13:77a46cb72c8ae8a8d5fc4c91;PV13:87be275292c67001a523503e	PEPlife2	"[[""0.0791812460476"",""="",""""],[""0.672097857936"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:16a71b405425e389e440a923	true	4	PV13:5911b84377a15cd9c9bd544c;PV13:8cb192d4f5c49678014e36b6;PV13:b7ed650309c64ce93044a53c;PV13:cb3c74a29255325037bdf7f5	PEPlife2	"[[""-0.301029995664"",""="",""""],[""-2.07918124605"",""="",""""],[""0.431363764159"",""="",""""],[""1.05307844348"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:173b3530e1209a30997ff7cf	true	2	PV13:4c9c33ea5bae6c4dae5d5065;PV13:7a3651e2d4b4be5b5d088eee	PEPlife2	"[[""-0.0457574905607"",""="",""""],[""1.47712125472"","">"",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:175b597ae1b74c406fd7b995	true	3	PV13:01173c51ec52c459527e2fda;PV13:4a15bece4d6c1ee84226bab2;PV13:5983be9b9f4f1da92f312c8e	PEPlife2	"[[""0.919601023784"",""="",""""],[""1.37162192718"",""="",""""],[""1.40500466505"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:178e77f365f2cfa71033363f	true	2	PV13:1f9fbfcbd77ff1abeff0c62f;PV13:73a88e6fe50101704f7abeb0	PEPlife2	"[[""0.662757831682"",""="",""""],[""0.954242509439"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:1797b62c6a51adf9c97e86ab	true	6	PV13:19906db78d8d4090289e728a;PV13:229ea351ea1e26cf993a61f4;PV13:4d97c8f6c8e6e51fe26fd9ac;PV13:6f521c16b950ba6b14e68fa4;PV13:97c4455f142cd4ae527fe107;PV13:ee2ea20ced6169434927afba	CycPeptMPDB	"[[""-5.01"",""="",""""],[""-5.71"",""="",""""],[""-5.72"",""="",""""],[""-6.15"",""="",""""],[""-6.2"",""="",""""],[""-6.6"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:183ce5dd7f57d96361c872ea	true	2	PV13:7322cda1fb8e0a2511a635ac;PV13:864d0c8daf50a31a685f434e	PEPlife2	"[[""-1.07918124605"",""="",""""],[""0.0543576623226"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:18637069ec8ab532110694a2	true	4	PV13:9f15135c13f800e78cb68deb;PV13:b765862d510c9d13c9e72d0f;PV13:ba707072b06c2a41dd590d0b;PV13:e2793ecebe4ce4cf784fb60d	swemacrocycledb_figshare_v1_ar_gt_0_3	"[[""-5.850780887"",""="",""""],[""-5.879426069"",""="",""""],[""-6"",""="",""""],[""-6.045757491"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:18e729c400b484a965b4ea09	true	2	PV13:7b2e455bc890eaa7560aca82;PV13:e57cdb6ca4fa89ea040bb5d7	PEPlife2	"[[""-0.602059991328"",""="",""""],[""0.903089986992"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:199aa1a32841b5982d643202	true	2	PV13:230e269e52a06edd35995efc;PV13:892a81eb6b8c541b8e8aba57	swemacrocycledb_figshare_v1_ar_gt_0_3	"[[""-6.721"",""="",""""],[""-7.699"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:19c7fee0f1ff28b9521f9347	true	2	PV13:958a8ac4efc2584a4a78961f;PV13:cf4a2af84a0d555a88aee581	PEPlife2	"[[""-0.45593195565"",""="",""""],[""-0.933053210369"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:19e86e4eb9501ae0da4372ac	true	4	PV13:00d1944b40bf3892a111f861;PV13:1f5f568cdc624d1941b4aeee;PV13:a061bf81d59c1e2b171f413f;PV13:ce7965cbb813a60aeb7ad299	NIST ThermoML	"[[""-2.57186520597"",""="",""""],[""-2.69680394258"",""="",""""],[""-2.85387196432"",""="",""""],[""-3.0043648054"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:1b2f1e5ec8f332c5c9936e46	true	2	PV13:87732947f2e09eb29718bf0f;PV13:8c5db59b1bad03f7882e1bb4	PEPlife2	"[[""2.87506126339"",""="",""""],[""2.95424250944"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:1b44b9d16548d59ea4ab080c	true	4	PV13:29b0c3cedab8662d21c91794;PV13:5bf5b1486a7fcad1b78124f8;PV13:62f217b72a96d27edc95a52b;PV13:e9030a248570e5b5e3456b0f	PEPlife2	"[[""-0.124938736608"",""="",""""],[""-0.967246969715"",""="",""""],[""0.430021276283"",""="",""""],[""0.845098040014"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:1bf481ab8113ac32d6434ac9	true	2	PV13:18a3a2d36967f28383959f79;PV13:2a01c5cb14af9ae4c3204ada	PEPlife2	"[[""1.1105897103"",""="",""""],[""1.20682587603"",""="",""""]]"	replicate_variability_or_condition_conflict_review
MLMEASURE1:1cef9a9fb79502313a5db418	true	2	PV13:447e9c3a3d2165dc2335ba29;PV13:ab19784c4cfaa3501cf6f7af	swemacrocycledb_figshare_v1_ar_gt_0_3	"[[""-4.268"",""="",""""],[""-4.456"",""="",""""]]"	replicate_variability_or_condition_conflict_review
