endpoint_id	panel	primary_output	task_kind	unit	route	data_domain	estimator	output_kind	feature_schema	seed	teacher_training_rows	student_training_rows	local_canonical_training_sequences	evidence_tier	peptide_validated	formal_oof_metric_status	source_heldout_metric_status	external_metric_status	prediction_semantics	artifact_sha256	training_input_sha256	warnings
DILI	extended_admet_tox	p_dili	binary_classification	probability	TDC small-molecule structure teacher -> ChEMBL peptide pseudo-label -> sequence student	small_molecule_transfer_pseudo_label	ExtraTreesRegressor sequence student (teacher: ExtraTreesClassifier/Regressor)	probability_regression	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260729	475	4000		L5_self_model_pseudo_label	false	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	pseudo-label student output; no peptide-validation claim	b96faa26ef83a49b1da69839a6d444fa366345ba56d8a55a89e96ca89a46c8a7	2d5535c648f33853af08489c44b7d19641b6523cd6f58a0a9498dc0daeba2e07	research_only | low_confidence | small_molecule_transfer_teacher | sequence_student_trained_on_pseudo_labels | not_peptide_validated
HC50	extended_admet_tox	log10_hc50_mol_L	censored_regression	log10(mol/L)	local peptide endpoint-specific sequence model	local_peptide_endpoint_specific	ExtraTreesRegressor (128 trees, leaf=2, max_features=0.7)	regression	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260719			1926	L0_direct_numeric_curated_dataset	true	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	endpoint-specific model output; still low-confidence research only	a51ea2d7d6edc16a79fa000b538a9cf239949afbdc714462f016286ce5d3c5d9	94b4837be4f10ee7cb1a51d38272cc353e9c98ccbabb928235adb73ebee42c9a	research_only | low_confidence | narrow_source_conditions
HIA	extended_admet_tox	p_human_intestinal_absorption	binary_classification	probability	TDC small-molecule structure teacher -> ChEMBL peptide pseudo-label -> sequence student	small_molecule_transfer_pseudo_label	ExtraTreesRegressor sequence student (teacher: ExtraTreesClassifier/Regressor)	probability_regression	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260730	578	4000		L5_self_model_pseudo_label	false	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	pseudo-label student output; no peptide-validation claim	c89e79ecfa36735404e98d7da70372deded3993f31ce25c74ac65f2c9dfab0cf	2d5535c648f33853af08489c44b7d19641b6523cd6f58a0a9498dc0daeba2e07	research_only | low_confidence | small_molecule_transfer_teacher | sequence_student_trained_on_pseudo_labels | not_peptide_validated
LD50	extended_admet_tox	log10_ld50_mol_kg	regression	log10(mol/kg)	TDC small-molecule structure teacher -> ChEMBL peptide pseudo-label -> sequence student	small_molecule_transfer_pseudo_label	ExtraTreesRegressor sequence student (teacher: ExtraTreesClassifier/Regressor)	regression	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260731	7385	4000		L5_self_model_pseudo_label	false	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	pseudo-label student output; no peptide-validation claim	95abe29e5c6cfebc9aaf9e49d7980387d8a02965c76812392a096341250262f9	2d5535c648f33853af08489c44b7d19641b6523cd6f58a0a9498dc0daeba2e07	research_only | low_confidence | small_molecule_transfer_teacher | sequence_student_trained_on_pseudo_labels | not_peptide_validated
Pgp_inhibition	extended_admet_tox	p_pgp_inhibitor	binary_classification	probability	TDC small-molecule structure teacher -> ChEMBL peptide pseudo-label -> sequence student	small_molecule_transfer_pseudo_label	ExtraTreesRegressor sequence student (teacher: ExtraTreesClassifier/Regressor)	probability_regression	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260732	1219	4000		L5_self_model_pseudo_label	false	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	pseudo-label student output; no peptide-validation claim	73bd27b6be0be0f0b24a4c425761080080541628d119088ef5f4f9fc56625ebf	2d5535c648f33853af08489c44b7d19641b6523cd6f58a0a9498dc0daeba2e07	research_only | low_confidence | small_molecule_transfer_teacher | sequence_student_trained_on_pseudo_labels | not_peptide_validated
carcinogenicity	extended_admet_tox	p_carcinogenic	binary_classification	probability	TDC small-molecule structure teacher -> ChEMBL peptide pseudo-label -> sequence student	small_molecule_transfer_pseudo_label	ExtraTreesRegressor sequence student (teacher: ExtraTreesClassifier/Regressor)	probability_regression	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260733	280	4000		L5_self_model_pseudo_label	false	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	pseudo-label student output; no peptide-validation claim	0a01d9041026d1171ee088c9154effa720c0a4c47b84af16136518cc297c11af	2d5535c648f33853af08489c44b7d19641b6523cd6f58a0a9498dc0daeba2e07	research_only | low_confidence | small_molecule_transfer_teacher | sequence_student_trained_on_pseudo_labels | not_peptide_validated
cell_penetration	peptide_specific	cell_penetration_score	positive_unlabeled_ranking	unit_interval_score	local peptide positive-unlabeled sequence ranker	local_peptide_positive_unlabeled	OneClassSVM (RBF, gamma=scale, nu=0.1)	positive_unlabeled	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260719			746	L3_positive_unlabeled	false	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	PU rank score, not calibrated probability	162713b25e05907eb3ec64798bc820edf3bb3a18ee18b98c44a12ae43785e2f1	94b4837be4f10ee7cb1a51d38272cc353e9c98ccbabb928235adb73ebee42c9a	research_only | low_confidence | positive_unlabeled_not_probability
cytotoxicity	extended_admet_tox	p_cytotoxic	binary_classification	probability	local peptide endpoint-specific sequence model	local_peptide_endpoint_specific	ExtraTreesClassifier (128 trees, leaf=2, max_features=0.7)	classification	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260719			141	L2_source_defined_binary	false	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	endpoint-specific model output; still low-confidence research only	c9b2a2bc802280cbf33044b76df10741893aede2f2e126cb2255671c7daa0319	94b4837be4f10ee7cb1a51d38272cc353e9c98ccbabb928235adb73ebee42c9a	research_only | low_confidence | narrow_source_conditions
hERG	extended_admet_tox	p_herg_liability	binary_classification	probability	TDC small-molecule structure teacher -> ChEMBL peptide pseudo-label -> sequence student	small_molecule_transfer_pseudo_label	ExtraTreesRegressor sequence student (teacher: ExtraTreesClassifier/Regressor)	probability_regression	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260734	13445	4000		L5_self_model_pseudo_label	false	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	pseudo-label student output; no peptide-validation claim	a995c618ff70dc5712846210ffb464a61481438b8a07f8328625e4440f1a5942	2d5535c648f33853af08489c44b7d19641b6523cd6f58a0a9498dc0daeba2e07	research_only | low_confidence | small_molecule_transfer_teacher | sequence_student_trained_on_pseudo_labels | not_peptide_validated
hemolysis	extended_admet_tox	p_hemolytic	binary_classification	probability	local peptide endpoint-specific sequence model	local_peptide_endpoint_specific	ExtraTreesClassifier (128 trees, leaf=2, max_features=0.7)	classification	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260719			1883	L2_source_defined_binary	true	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	endpoint-specific model output; still low-confidence research only	609070284a03ade86bfa0c43aed8e361ad03f9e92309a4751d1eba92cd5ed686	94b4837be4f10ee7cb1a51d38272cc353e9c98ccbabb928235adb73ebee42c9a	research_only | low_confidence | narrow_source_conditions
human_plasma_stability	peptide_specific	human_plasma_t_half_h	censored_regression	h	local peptide endpoint-specific sequence model	local_peptide_endpoint_specific	ExtraTreesRegressor (128 trees, leaf=2, max_features=0.7)	regression	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260719			53	L0_local_frozen_numeric	false	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	endpoint-specific model output; still low-confidence research only	ccf8aedc6b8b44946b1bb26ac8412461b68ab31e7f4bbf986ac79e4675c78b0b	94b4837be4f10ee7cb1a51d38272cc353e9c98ccbabb928235adb73ebee42c9a	research_only | low_confidence | narrow_source_conditions
intestinal_stability	peptide_specific	intestinal_t_half_h	censored_regression	h	local peptide endpoint-specific sequence model	local_peptide_endpoint_specific	ExtraTreesRegressor (128 trees, leaf=2, max_features=0.7)	regression	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260719			388	L0_local_frozen_numeric	false	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	endpoint-specific model output; still low-confidence research only	1e059c24a5e1d7f7cad6caf2335d360f7eaef66ff39ead0fb1f5462f359e9996	94b4837be4f10ee7cb1a51d38272cc353e9c98ccbabb928235adb73ebee42c9a	research_only | low_confidence | narrow_source_conditions
mouse_plasma_stability	peptide_specific	mouse_plasma_t_half_h	censored_regression	h	local peptide endpoint-specific sequence model	local_peptide_endpoint_specific	ExtraTreesRegressor (128 trees, leaf=2, max_features=0.7)	regression	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260719			30	L0_local_frozen_numeric	false	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	endpoint-specific model output; still low-confidence research only	ce59cd2651545197d1fbb646edd8a2a236e41784521dd53f20e371acf243b082	94b4837be4f10ee7cb1a51d38272cc353e9c98ccbabb928235adb73ebee42c9a	research_only | low_confidence | narrow_source_conditions
overall_peptide_toxicity	extended_admet_tox	p_peptide_toxic	binary_classification	probability	local peptide endpoint-specific sequence model	local_peptide_endpoint_specific	ExtraTreesClassifier (128 trees, leaf=2, max_features=0.7)	classification	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260719			11036	L5_weak_benchmark_label	false	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	endpoint-specific model output; still low-confidence research only	47dc8ab7942d60c8d096515097319c9b83bad2599acf00a3548f50630753ca0b	94b4837be4f10ee7cb1a51d38272cc353e9c98ccbabb928235adb73ebee42c9a	research_only | low_confidence | narrow_source_conditions
skin_reaction	extended_admet_tox	p_skin_reaction	binary_classification	probability	TDC small-molecule structure teacher -> ChEMBL peptide pseudo-label -> sequence student	small_molecule_transfer_pseudo_label	ExtraTreesRegressor sequence student (teacher: ExtraTreesClassifier/Regressor)	probability_regression	v28_sequence_physchem_char64_v1 (93=29 physchem+64 char ngram)	20260735	404	4000		L5_self_model_pseudo_label	false	not_run_for_current_research_bundle	not_run_for_current_research_bundle	not_run_for_current_research_bundle	pseudo-label student output; no peptide-validation claim	1a005cc7658763ae8d14ace49fdcfe180a97cb2e8bbddee6e448a5643b590c24	2d5535c648f33853af08489c44b7d19641b6523cd6f58a0a9498dc0daeba2e07	research_only | low_confidence | small_molecule_transfer_teacher | sequence_student_trained_on_pseudo_labels | not_peptide_validated
